Red: Red de Vigilancia y Control de la Contaminación Atmosférica
Estación: 03014009-Alacant - Rabassa
	
FECHA	SO2	CO	NO	NO2	PM10	NOx	O3	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	PM2.5	PM1
	µg/m³	mg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³	m/s	grados	°C	% H.R.	mb	W/m²	l/m²	µg/m³	µg/m³
18/06/2019	4	0,1	3	12		17	76	1,6	181	21,5	68	1002	371	0		
19/06/2019	4	0,1	3	13		17	75	1,3	130	24	64	1000	361	0		
20/06/2019	4	0,1	2	9	33	11	71	1,5	120	22	83	999	236	0	15	11
21/06/2019	4	0,1	2	8	28	11	75	1,5	175	22,7	83	1001	292	0	18	15
22/06/2019	4	0,1	2	8	22	11	70	1,4	116	22,9	78	1003	338	0	14	12
23/06/2019	4	0,1	2	8	21	11	72	1,8	58	23,5	66	1001	356	0	9	7
24/06/2019	4	0,1	2	5	20	7	87	1,9	172	24,2	61	1001	354	0	7	5
25/06/2019	4	0,1	2	6	26	9	73	1,7	168	23,7	79	1003	339	0	14	11
26/06/2019	4	0,1	2	11	42	13	72	1,7	152	25,7	75	1004	338	0	20	15
27/06/2019	3	0,1	2	10	55	13	87	3,2	52	28,7	47	1004	324	0	10	6
28/06/2019	3	0,1	2	13	33	16	82	1,7	34	28	48	1004	358	0	9	6
29/06/2019	4	0,1	2	9	19	12	86	1,6	59	28,4	44	1002	364	0	8	7
30/06/2019	4	0,1	2	6	22	8	90	2,2	57	28,3	42	1004	357	0	7	5
01/07/2019	3	0,1	2	9	32	12	85	2,1	120	25,7	72	1003	309	0	16	13
02/07/2019	3	0,1	2	3	28	6	89	2	88	25,6	79	1002	303	0	17	14
03/07/2019	4	0,1	2	7	32	10	87	2,2	58	25,8	61	1001	352	0	10	8
04/07/2019	4	0,1	3	10	40	14	81	2,2	82	26,3	64	1003	323	0	11	8
05/07/2019	4	0,1	2	6	30	9	73	1,5	130	26	78	1003	316	0	17	15
06/07/2019	4	0,1	2	7	46	9	66	1,4	148	27,7	75	1001	250	0	23	18
07/07/2019	4	0,1	2	8	55	10	74	1,3	127	29,9	56	999	232	0	16	10
08/07/2019	4	0,1	2	11	44	15	66	1,2	105	26,4	77	998	148	0,1	17	10
09/07/2019	4	0,1	2	10	32	13	75	1,7	82	26,2	59	999	350	0	11	7
10/07/2019	4	0,1	2	11	31	14	78	1,6	62	25,6	62	1002	347	0	8	6
11/07/2019	4	0,1	2	10	28	12	86	1,7	100	26,5	52	1002	340	0	6	3
12/07/2019	4	0,1	3	17	27	22	71	1,5	97	27,8	45	1002	322	0	5	3
13/07/2019	4	0,1	2	7	23	10	79	1,8	91	28,1	61	1001	258	0	7	5
14/07/2019	5	0,1	1	4	24	6	83	1,7	80	27,4	75	998	333	0	13	10
15/07/2019	4	0,1	2	7	34	10	69	1,9	73	26,7	77	999	324	0	17	13
16/07/2019	4	0,1	1	4	25	6	76	1,9	81	26,7	72	1003	290	0	11	9
17/07/2019	5	0,1	2	9	37	12	81	1,8	64	26,1	58	1001	335	0	7	4
18/07/2019	4	0,1	3	9	23	13	73	1,5	105	25,6	64	1002	336	0	6	4
19/07/2019	4	0,1	2	7	28	10	85	2,2	57	26,4	61	1002	339	0	7	4
20/07/2019	5	0,1	2	7	39	10	91	2,7	49	28,7	45	1002	304	0	8	5
21/07/2019	4	0,1	1	5	29	7	87	3	56	28,8	47	1006	323	0	8	5
22/07/2019	5	0,1	2	9	36	12	81	2,6	46	28,3	47	1007	323	0	8	5
23/07/2019	5	0,1	3	10	43	14	76	2,1	44	28,6	39	1004	332	0	9	6
24/07/2019	5	0,1	3	14	34	19	82	1,8	50	28,9	36	1003	325	0	7	5
25/07/2019	4	0,1	3	11	42	15	82	1,8	65	28	50	1001	328	0	10	7
26/07/2019	5	0,1	3	11	33	15	75	1,3	92	26,6	69	997	289	0	16	13
27/07/2019	4	0,1	2	5	61	8	65	4,4	294	30,4	41	993	319	0	10	6
